SOLUTION_MASTER_SPECIES
#element	master species	alkalinity	gfw|formula	gfw of element	source
	# source	sit.dat
Albite-low
	NaAlSi3O8 = Na+ + Al+3 - 4H+ + 3H4(SiO4) - 4H2O
	log_k	2.74
	delta_h	-82.813 
	analytic	-1.17682E+1 0E+0 4.32562E+3 0E+0 0E+0 
	# source	sit.dat
Am(CO3)(OH)(am)
	Am(CO3)(OH) = - H+ + Am+3 + CO3-2 + H2O
	log_k	-6.2
	analytic	-6.2E+0 0E+0 0E+0 0E+0 0E+0 
	# source	sit.dat
Am(CO3)(OH)(cr)
	Am(CO3)(OH) = - H+ + Am+3 + CO3-2 + H2O
	log_k	-11.51
	delta_h	-25.260 
	analytic	-1.59354E+1 0E+0 1.31942E+3 0E+0 0E+0 
	# source	sit.dat
Am(CO3)(OH):0.5H2O(cr)
	Am(CO3)(OH):0.5H2O = - H+ + Am+3 + CO3-2 + 1.500H2O
	log_k	-8.4
	delta_h	-37.775 
	analytic	-1.50179E+1 0E+0 1.97312E+3 0E+0 0E+0 
	# source	sit.dat
Am(CO3)2Na:5H2O(s)
	Am(CO3)2Na:5H2O = Na+ + Am+3 + 2CO3-2 + 5H2O
	log_k	-21.0
	analytic	-2.1E+1 0E+0 0E+0 0E+0 0E+0 
	# source	sit.dat
Am(OH)3(am)
	Am(OH)3 = - 3H+ + Am+3 + 3H2O
	log_k	16.9
	analytic	1.69E+1 0E+0 0E+0 0E+0 0E+0 
	# source	sit.dat
Am(OH)3(cr)
	Am(OH)3 = - 3H+ + Am+3 + 3H2O
	log_k	15.6
	delta_h	-120.992 
	analytic	-5.59686E+0 0E+0 6.31984E+3 0E+0 0E+0 
	# source	sit.dat
Am(PO4):xH2O(am)
	Am(PO4) = - 2H+ + Am+3 + H2(PO4)-
	log_k	-5.23
	analytic	-5.23E+0 0E+0 0E+0 0E+0 0E+0 
	# source	sit.dat
Am(cr)
	Am = Am+3 + 1.500H2O - 3H+ - 0.750O2
	log_k	169.375
	delta_h	-1036.345 
	analytic	-1.21845E+1 0E+0 5.4132E+4 0E+0 0E+0 
	# source	sit.dat
Am2(CO3)3(cr)
	Am2(CO3)3 = 2Am+3 + 3CO3-2
	log_k	-33.4
	analytic	-3.34E+1 0E+0 0E+0 0E+0 0E+0 
	# source	sit.dat
Am2O3(cr)
	Am2O3 = - 6H+ + 2Am+3 + 3H2O
	log_k	53.15
	delta_h	-400.490 
	analytic	-1.70127E+1 0E+0 2.0919E+4 0E+0 0E+0 
	# source	sit.dat
AmBr3(cr)
	AmBr3 = Am+3 + 3Br-
	log_k	23.93
	delta_h	-176.930 
	analytic	-7.06676E+0 0E+0 9.24168E+3 0E+0 0E+0 
	# source	sit.dat
AmCl3(cr)
	AmCl3 = Am+3 + 3Cl-
	log_k	15.28
	delta_h	-140.140 
	analytic	-9.27144E+0 0E+0 7.32001E+3 0E+0 0E+0 
	# source	sit.dat
AmCl6Cs2Na(cr)
	AmCl6Cs2Na = Na+ + 2Cs+ + Am+3 + 6Cl-
	log_k	12.56
	delta_h	-59.720 
	analytic	2.09752E+0 0E+0 3.11939E+3 0E+0 0E+0 
	# source	sit.dat
AmF3(cr)
	AmF3 = Am+3 + 3F-
	log_k	-13.4
	delta_h	-28.750 
	analytic	-1.84368E+1 0E+0 1.50171E+3 0E+0 0E+0 
	# source	sit.dat
AmI3(cr)
	AmI3 = Am+3 + 3I-
	log_k	25.3
	delta_h	-172.040 
	analytic	-4.84007E+0 0E+0 8.98626E+3 0E+0 0E+0 
	# source	sit.dat
AmO2(cr)
	AmO2 = - 3H+ + Am+3 + 1.500H2O + 0.250O2
	log_k	12.715
	delta_h	-116.279 
	analytic	-7.65609E+0 0E+0 6.07364E+3 0E+0 0E+0 
	# source	sit.dat
AmO2OH(am)
	AmO2OH = - H+ + AmO2+ + H2O
	log_k	5.3
	analytic	5.3E+0 0E+0 0E+0 0E+0 0E+0 
	# source	sit.dat
AmOBr(cr)
	AmOBr = - 2H+ + Am+3 + Br- + H2O
	log_k	15.98
	delta_h	-136.940 
	analytic	-8.01082E+0 0E+0 7.15286E+3 0E+0 0E+0 
	# source	sit.dat
AmOCl(cr)
	AmOCl = - 2H+ + Am+3 + Cl- + H2O
	log_k	12.26
	delta_h	-119.810 
	analytic	-8.72978E+0 0E+0 6.2581E+3 0E+0 0E+0 
	# source	sit.dat
Amesite
	Mg4Al4Si2O10(OH)8 = 4Mg+2 + 4Al+3 - 20H+ + 2H4(SiO4) + 10H2O
	log_k	69.42
	delta_h	-766.388 
	analytic	-6.48452E+1 0E+0 4.00312E+4 0E+0 0E+0 
	# source	sit.dat
Amesite-Fe
	Fe4Al4Si2O10(OH)8 = 4Fe+2 + 4Al+3 - 20H+ + 2H4(SiO4) + 10H2O
	log_k	57.04
	delta_h	-686.828 
	analytic	-6.32869E+1 0E+0 3.58755E+4 0E+0 0E+0 
	# source	sit.dat
Analcime
	Na0.99Al0.99Si2.01O6:H2O = 0.990Na+ + 0.990Al+3 - 3.960H+ + 2.010H4(SiO4) - 1.040H2O
	log_k	6.65
	delta_h	-102.689 
	analytic	-1.13403E+1 0E+0 5.36381E+3 0E+0 0E+0 
	# source	sit.dat
Anapaite
	Ca2Fe(PO4)2:4H2O = 2Ca+2 + Fe+2 - 4H+ + 2H2(PO4)- + 4H2O
	log_k	5.02
	analytic	5.02E+0 0E+0 0E+0 0E+0 0E+0 
	# source	sit.dat
Anglesite
	Pb(SO4) = Pb+2 + SO4-2
	log_k	-7.85
	delta_h	11.550 
	analytic	-5.82653E+0 0E+0 -6.03298E+2 0E+0 0E+0 
	# source	sit.dat
Anhydrite
	Ca(SO4) = Ca+2 + SO4-2
	log_k	-4.44
	delta_h	-17.940 
	analytic	-7.58295E+0 0E+0 9.3707E+2 0E+0 0E+0 
	# source	sit.dat
Annite
	KFe3Si3AlO10(OH)2 = K+ + 3Fe+2 + Al+3 - 10H+ + 3H4(SiO4)
	log_k	32.77
	delta_h	-313.152 
	analytic	-2.20918E+1 0E+0 1.6357E+4 0E+0 0E+0 
	# source	sit.dat
Anorthite
	CaAl2Si2O8 = Ca+2 + 2Al+3 - 8H+ + 2H4(SiO4)
	log_k	25.31
	delta_h	-314.358 
	analytic	-2.97631E+1 0E+0 1.642E+4 0E+0 0E+0 
	# source	sit.dat
Antarcticite
	CaCl2:6H2O = Ca+2 + 2Cl- + 6H2O
	log_k	3.94
	delta_h	13.990 
	analytic	6.39094E+0 0E+0 -7.30748E+2 0E+0 0E+0 
	# source	sit.dat
Antigorite
	Mg48Si34O85(OH)62 = 48Mg+2 - 96H+ + 34H4(SiO4) + 1H2O
	log_k	500.16
	delta_h	-3822.746 
	analytic	-1.69555E+2 0E+0 1.99676E+5 0E+0 0E+0 
	# source	sit.dat
Aragonite
	CaCO3 = Ca+2 + CO3-2
	log_k	-8.31
	delta_h	-10.454 
	analytic	-1.01415E+1 0E+0 5.4605E+2 0E+0 0E+0 
	# source	sit.dat
Arcanite
	K2SO4 = 2K+ + SO4-2
	log_k	-1.85
	delta_h	24.080 
	analytic	2.36863E+0 0E+0 -1.25778E+3 0E+0 0E+0 
	# source	sit.dat
Artinite
	Mg2(CO3)(OH)2:3H2O = 2Mg+2 - 2H+ + CO3-2 + 5H2O
	log_k	9.81
	delta_h	-117.780 
	analytic	-1.08241E+1 0E+0 6.15207E+3 0E+0 0E+0 
	# source	sit.dat
As(s)
	As = 3H+ + AsO4-3 - 1.500H2O - 1.250O2
	log_k	54.885
	delta_h	-444.228 
	analytic	-2.29402E+1 0E+0 2.32036E+4 0E+0 0E+0 
	# source	sit.dat
As2O5(s)
	As2O5 = 6H+ + 2AsO4-3 - 3H2O
	log_k	-35.34
	delta_h	10.640 
	analytic	-3.3476E+1 0E+0 -5.55765E+2 0E+0 0E+0 
	# source	sit.dat
B(OH)3(cr)
	B(OH)3 = H+ + B(OH)4- - H2O
	log_k	-9.31
	delta_h	35.514 
	analytic	-3.08822E+0 0E+0 -1.85502E+3 0E+0 0E+0 
	# source	sit.dat
B(cr)
	B = H+ + B(OH)4- - 2.500H2O - 0.750O2
	log_k	100.415
	delta_h	-621.441 
	analytic	-8.45654E+0 0E+0 3.24601E+4 0E+0 0E+0 
	# source	sit.dat
B2O3(am)
	B2O3 = 2H+ + 2B(OH)4- - 5H2O
	log_k	-10.63
	delta_h	-6.711 
	analytic	-1.18057E+1 0E+0 3.50539E+2 0E+0 0E+0 
	# source	sit.dat
B2O3(cr)
	B2O3 = 2H+ + 2B(OH)4- - 5H2O
	log_k	-12.74
	delta_h	12.418 
	analytic	-1.05645E+1 0E+0 -6.48636E+2 0E+0 0E+0 
	# source	sit.dat
Ba(OH)2:8H2O(cr)
	Ba(OH)2:8H2O = Ba+2 - 2H+ + 10H2O
	log_k	23.87
	delta_h	-52.509 
	analytic	1.46708E+1 0E+0 2.74273E+3 0E+0 0E+0 
	# source	sit.dat
Ba(SeO3)(s)
	Ba(SeO3) = Ba+2 + SeO3-2
	log_k	-6.5
	delta_h	-5.260 
	analytic	-7.42151E+0 0E+0 2.74749E+2 0E+0 0E+0 
	# source	sit.dat
Ba(SeO4)(cr)
	Ba(SeO4) = Ba+2 + SeO4-2
	log_k	-7.56
	delta_h	5.700 
	analytic	-6.5614E+0 0E+0 -2.97731E+2 0E+0 0E+0 
	# source	sit.dat
Ba(cr)
	Ba = Ba+2 + H2O - 2H+ - 0.500O2
	log_k	140.69
	delta_h	-814.563 
	analytic	-2.0151E+0 0E+0 4.25475E+4 0E+0 0E+0 
	# source	sit.dat
BaCl2(cr)
	BaCl2 = Ba+2 + 2Cl-
	log_k	2.3
	delta_h	-13.760 
	analytic	-1.10645E-1 0E+0 7.18734E+2 0E+0 0E+0 
	# source	sit.dat
BaCl2:2H2O(s)
	BaCl2:2H2O = Ba+2 + 2Cl- + 2H2O
	log_k	-0.34
	delta_h	19.418 
	analytic	3.06188E+0 0E+0 -1.01427E+3 0E+0 0E+0 
	# source	sit.dat
BaCl2:H2O(s)
	BaCl2:H2O = Ba+2 + 2Cl- + H2O
	log_k	0.28
	delta_h	5.746 
	analytic	1.28665E+0 0E+0 -3.00134E+2 0E+0 0E+0 
	# source	sit.dat
BaF2(cr)
	BaF2 = Ba+2 + 2F-
	log_k	-6.32
	delta_h	1.631 
	analytic	-6.03426E+0 0E+0 -8.51929E+1 0E+0 0E+0 
	# source	sit.dat
BaHPO4(s)
	BaHPO4 = Ba+2 - H+ + H2(PO4)-
	log_k	-0.19
	delta_h	-22.800 
	analytic	-4.18438E+0 0E+0 1.19093E+3 0E+0 0E+0 
	# source	sit.dat
BaMoO4(s)
	BaMoO4 = Ba+2 + MoO4-2
	log_k	-7.83
	delta_h	13.822 
	analytic	-5.40849E+0 0E+0 -7.21972E+2 0E+0 0E+0 
	# source	sit.dat
BaO(cr)
	BaO = Ba+2 - 2H+ + H2O
	log_k	48.07
	delta_h	-272.530 
	analytic	3.24864E-1 0E+0 1.42352E+4 0E+0 0E+0 
	# source	sit.dat
BaS(s)
	BaS = Ba+2 - H+ + HS-
	log_k	15.66
	delta_h	-90.248 
	analytic	-1.50748E-1 0E+0 4.71397E+3 0E+0 0E+0 
	# source	sit.dat
Barite
	Ba(SO4) = Ba+2 + SO4-2
	log_k	-9.97
	delta_h	26.460 
	analytic	-5.33441E+0 0E+0 -1.3821E+3 0E+0 0E+0 
	# source	sit.dat
Bassanite
	CaSO4:0.5H2O = Ca+2 + SO4-2 + 0.500H2O
	log_k	-3.92
	delta_h	-17.358 
	analytic	-6.96099E+0 0E+0 9.0667E+2 0E+0 0E+0 
	# source	sit.dat
Bassetite
	Fe(UO2)2(PO4)2 = Fe+2 + 2UO2+2 - 4H+ + 2H2(PO4)-
	log_k	-1.07
	delta_h	-36.464 
	analytic	-7.45821E+0 0E+0 1.90464E+3 0E+0 0E+0 
	# source	sit.dat
Becquerelite(nat)
	Ca(UO2)6O4(OH)6:8H2O = Ca+2 + 6UO2+2 - 14H+ + 18H2O
	log_k	29.0
	delta_h	-378.310 
	analytic	-3.7277E+1 0E+0 1.97605E+4 0E+0 0E+0 
	# source	sit.dat
Becquerelite(syn)
	Ca(UO2)6O4(OH)6:8H2O = Ca+2 + 6UO2+2 - 14H+ + 18H2O
	log_k	40.5
	analytic	4.05E+1 0E+0 0E+0 0E+0 0E+0 
	# source	sit.dat
Beidellite-Ca
	Ca0.17Al2.34Si3.66O10(OH)2 = 0.170Ca+2 + 2.340Al+3 - 7.360H+ + 3.660H4(SiO4) - 2.640H2O
	log_k	5.77
	delta_h	-207.635 
	analytic	-3.0606E+1 0E+0 1.08455E+4 0E+0 0E+0 
	# source	sit.dat
Beidellite-K
	K0.34Al2.34Si3.66O10(OH)2 = 0.340K+ + 2.340Al+3 - 7.360H+ + 3.660H4(SiO4) - 2.640H2O
	log_k	4.6
	delta_h	-189.102 
	analytic	-2.85292E+1 0E+0 9.87747E+3 0E+0 0E+0 
	# source	sit.dat
Beidellite-Mg
	Mg0.17Al2.34Si3.66O10(OH)2 = 0.170Mg+2 + 2.340Al+3 - 7.360H+ + 3.660H4(SiO4) - 2.640H2O
	log_k	5.23
	delta_h	-208.815 
	analytic	-3.13528E+1 0E+0 1.09072E+4 0E+0 0E+0 
	# source	sit.dat
Beidellite-Na
	Na0.34Al2.34Si3.66O10(OH)2 = 0.340Na+ + 2.340Al+3 - 7.360H+ + 3.660H4(SiO4) - 2.640H2O
	log_k	5.1
	delta_h	-197.720 
	analytic	-2.9539E+1 0E+0 1.03276E+4 0E+0 0E+0 
	# source	sit.dat
Beidellite_SBld-1
	Ca0.185K0.104(Si3.574Al0.426)(Al1.812Mg0.090Fe0.112)O10(OH)2 = 0.185Ca+2 + 0.090Mg+2 + 0.104K+ + 0.112Fe+3 + 2.238Al+3 - 7.704H+ + 3.574H4(SiO4) - 2.296H2O
	log_k	7.59
	delta_h	-224.486 
	analytic	-3.17382E+1 0E+0 1.17257E+4 0E+0 0E+0 
	# source	sit.dat
Beidellite_SBld-1(4.576H2O)
	Ca0.185K0.104Si3.574Al2.238Mg0.090Fe0.112O10(OH)2:4.576H2O = 0.185Ca+2 + 0.090Mg+2 + 0.104K+ + 0.112Fe+3 + 2.238Al+3 - 7.704H+ + 3.574H4(SiO4) + 2.280H2O
	log_k	4.29
	delta_h	-193.685 
	analytic	-2.96421E+1 0E+0 1.01169E+4 0E+0 0E+0 
	# source	sit.dat
Berlinite
	Al(PO4) = Al+3 - 2H+ + H2(PO4)-
	log_k	-0.57
	analytic	-5.7E-1 0E+0 0E+0 0E+0 0E+0 
	# source	sit.dat
Berndtite
	SnS2 = Sn+4 - 2H+ + 2HS-
	log_k	-37.56
	delta_h	87.401 
	analytic	-2.2248E+1 0E+0 -4.56527E+3 0E+0 0E+0 
	# source	sit.dat
Berthierine(FeII)
	(Fe2Al)(SiAl)O5(OH)4 = 2Al+3 + H4(SiO4) + 2Fe+2 + 5H2O - 10H+
	log_k	34.56
	delta_h	-376.684 
	analytic	-3.14321E+1 0E+0 1.96755E+4 0E+0 0E+0 
	# source	sit.dat
Berthierine(FeIII)
	(Fe2.34Fe0.33Al0.33)(Si1.34Al0.66)O5(OH)4 = 0.330Fe+3 + 2.340Fe+2 + 0.990Al+3 - 8.640H+ + 1.340H4(SiO4) + 3.640H2O
	log_k	28.8
	delta_h	-300.177 
	analytic	-2.37887E+1 0E+0 1.56793E+4 0E+0 0E+0 
	# source	sit.dat
Berthierine_ISGS
	(Si1.332Al0.668)(Al0.976Fe0.182Fe1.44Mg0.157)O5(OH)4 = 0.157Mg+2 + 0.182Fe+3 + 1.644Al+3 + 1.332H4(SiO4) + 1.440Fe+2 + 3.672H2O - 8.672H+
	log_k	27.93
	delta_h	-318.385 
	analytic	-2.78486E+1 0E+0 1.66304E+4 0E+0 0E+0 
	# source	sit.dat
Berthierine_Lorraine
	Fe0.608Fe0.936Mg0.37Al1.052Si1.52O5(OH)4 = 0.370Mg+2 + 0.936Fe+3 + 0.608Fe+2 + 1.052Al+3 - 7.920H+ + 1.520H4(SiO4) + 2.920H2O
	log_k	1.03
	delta_h	-162.510 
	analytic	-2.74405E+1 0E+0 8.48848E+3 0E+0 0E+0 
	# source	sit.dat
Bieberite
	CoSO4:7H2O = Co+2 + SO4-2 + 7H2O
	log_k	-2.35
	delta_h	11.840 
	analytic	-2.75724E-1 0E+0 -6.18445E+2 0E+0 0E+0 
	# source	sit.dat
Bischofite
	MgCl2:6H2O = Mg+2 + 2Cl- + 6H2O
	log_k	4.46
	delta_h	-8.710 
	analytic	2.93408E+0 0E+0 4.54954E+2 0E+0 0E+0 
	# source	sit.dat
Bloedite
	Na2Mg(SO4)2:4H2O = Mg+2 + 2Na+ + 2SO4-2 + 4H2O
	log_k	-2.35
	analytic	-2.35E+0 0E+0 0E+0 0E+0 0E+0 
	# source	sit.dat
Boehmite
	AlO(OH) = Al+3 - 3H+ + 2H2O
	log_k	7.62
	delta_h	-113.660 
	analytic	-1.22923E+1 0E+0 5.93687E+3 0E+0 0E+0 
	# source	sit.dat
Brucite
	Mg(OH)2 = Mg+2 - 2H+ + 2H2O
	log_k	17.1
	delta_h	-114.160 
	analytic	-2.89994E+0 0E+0 5.96298E+3 0E+0 0E+0 
	# source	sit.dat
Brushite
	Ca(HPO4):2H2O = Ca+2 - H+ + H2(PO4)- + 2H2O
	log_k	0.6
	delta_h	-7.375 
	analytic	-6.92043E-1 0E+0 3.85223E+2 0E+0 0E+0 
	# source	sit.dat
Bunsenite
	NiO = Ni+2 - 2H+ + H2O
	log_k	12.48
	delta_h	-101.142 
	analytic	-5.23929E+0 0E+0 5.28301E+3 0E+0 0E+0 
	# source	sit.dat
Burkeite
	Na6(CO3)(SO4)2 = 6Na+ + CO3-2 + 2SO4-2
	log_k	-0.77
	analytic	-7.7E-1 0E+0 0E+0 0E+0 0E+0 
	# source	sit.dat
C(cr)
	C = 2H+ + CO3-2 - H2O - O2
	log_k	53.83
	delta_h	-377.266 
	analytic	-1.22641E+1 0E+0 1.97059E+4 0E+0 0E+0 
	# source	sit.dat
C2SH(alpha)
	Ca2(HSiO4)(OH) = 2Ca+2 - 4H+ + H4(SiO4) + H2O
	log_k	35.54
	delta_h	-198.104 
	analytic	8.3372E-1 0E+0 1.03477E+4 0E+0 0E+0 
	# source	sit.dat
C3AH6
	Ca3Al2(OH)12 = 3Ca+2 + 2Al+3 - 12H+ + 12H2O
	log_k	80.32
	delta_h	-584.260 
	analytic	-2.20378E+1 0E+0 3.0518E+4 0E+0 0E+0 
	# source	sit.dat
C3FH6
	Ca3Fe2(OH)12 = 3Ca+2 + 2Fe+3 - 12H+ + 12H2O
	log_k	72.39
	delta_h	-509.370 
	analytic	-1.68477E+1 0E+0 2.66062E+4 0E+0 0E+0 
	# source	sit.dat
C4AH13
	Ca4Al2(OH)14:6H2O = 4Ca+2 + 2Al+3 - 14H+ + 20H2O
	log_k	103.65
	delta_h	-647.400 
	analytic	-9.76944E+0 0E+0 3.3816E+4 0E+0 0E+0 
	# source	sit.dat
C4FH13
	Ca4Fe2(OH)14:6H2O = 4Ca+2 + 2Fe+3 - 14H+ + 20H2O
	log_k	95.16
	delta_h	-569.200 
	analytic	-4.55941E+0 0E+0 2.97313E+4 0E+0 0E+0 
	# source	sit.dat
CSH0.8
	Ca0.8SiO2.8:1.54H2O = 0.800Ca+2 - 1.600H+ + H4(SiO4) + 0.340H2O
	log_k	11.05
	delta_h	-47.646 
	analytic	2.70279E+0 0E+0 2.48872E+3 0E+0 0E+0 
	# source	sit.dat
CSH1.2
	Ca1.2SiO3.2:2.06H2O = 1.200Ca+2 - 2.400H+ + H4(SiO4) + 1.260H2O
	log_k	19.3
	delta_h	-88.600 
	analytic	3.77797E+0 0E+0 4.62789E+3 0E+0 0E+0 
	# source	sit.dat
CSH1.6
	Ca1.6SiO3.6:2.58H2O = 1.600Ca+2 - 3.200H+ + H4(SiO4) + 2.180H2O
	log_k	28.0
	delta_h	-133.313 
	analytic	4.6446E+0 0E+0 6.96341E+3 0E+0 0E+0 
	# source	sit.dat
Ca(Adipate)(s)
	Ca(Adipate) = Ca+2 + Adipate-2
	log_k	-3.3
	analytic	-3.3E+0 0E+0 0E+0 0E+0 0E+0 
	# source	sit.dat
Ca(HGlu)2(s)
	Ca(HGlu)2 = Ca+2 + 2HGlu-
	log_k	-4.19
	analytic	-4.19E+0 0E+0 0E+0 0E+0 0E+0 
	# source	sit.dat
Ca(HIsa)2(cr)
	Ca(HIsa)2 = Ca+2 + 2HIsa-
	log_k	-6.4
	analytic	-6.4E+0 0E+0 0E+0 0E+0 0E+0 
	# source	sit.dat
Ca(HPO4)(s)
	Ca(HPO4) = Ca+2 - H+ + H2(PO4)-
	log_k	0.3
	delta_h	-24.098 
	analytic	-3.92178E+0 0E+0 1.25872E+3 0E+0 0E+0 
	# source	sit.dat
Ca(NO3)2(s)
	Ca(NO3)2 = Ca+2 + 2NO3-
	log_k	5.89
	analytic	5.89E+0 0E+0 0E+0 0E+0 0E+0 
	# source	sit.dat
Ca(Ox):2H2O(s)
	Ca(Ox):2H2O = Ca+2 + Ox-2 + 2H2O
	log_k	-8.3
	delta_h	25.200 
	analytic	-3.88516E+0 0E+0 -1.31629E+3 0E+0 0E+0 
	# source	sit.dat
Ca(Ox):3H2O(s)
	Ca(Ox):3H2O = Ca+2 + Ox-2 + 3H2O
	log_k	-8.19
	delta_h	29.700 
	analytic	-2.98679E+0 0E+0 -1.55134E+3 0E+0 0E+0 
	# source	sit.dat
Ca(Ox):H2O(s)
	Ca(Ox):H2O = Ca+2 + Ox-2 + H2O
	log_k	-8.73
	delta_h	21.500 
	analytic	-4.96337E+0 0E+0 -1.12302E+3 0E+0 0E+0 
	# source	sit.dat
Ca(SO3)(s)
	Ca(SO3) = Ca+2 + SO3-2
	log_k	-6.5
	analytic	-6.5E+0 0E+0 0E+0 0E+0 0E+0 
	# source	sit.dat
Ca(SeO3):H2O(s)
	Ca(SeO3):H2O = Ca+2 + SeO3-2 + H2O
	log_k	-6.4
	delta_h	-11.190 
	analytic	-8.3604E+0 0E+0 5.84494E+2 0E+0 0E+0 
	# source	sit.dat
Ca(SeO4):2H2O(s)
	Ca(SeO4):2H2O = Ca+2 + SeO4-2 + 2H2O
	log_k	-2.68
	delta_h	-9.160 
	analytic	-4.28476E+0 0E+0 4.78459E+2 0E+0 0E+0 
	# source	sit.dat
Ca(s)
	Ca = Ca+2 + H2O - 2H+ - 0.500O2
	log_k	139.84
	delta_h	-822.763 
	analytic	-4.30168E+0 0E+0 4.29758E+4 0E+0 0E+0 
	# source	sit.dat
Ca2(Pyrophos)(s)
	Ca2(Pyrophos) = 2Ca+2 + Pyrophos-4
	log_k	-15.5
	analytic	-1.55E+1 0E+0 0E+0 0E+0 0E+0 
	# source	sit.dat
Ca2Cl2(OH)2:H2O(s)
	Ca2Cl2(OH)2:H2O = 2Ca+2 - 2H+ + 2Cl- + 3H2O
	log_k	26.53
	analytic	2.653E+1 0E+0 0E+0 0E+0 0E+0 
	# source	sit.dat
Ca2Fe2O5(s)
	Ca2Fe2O5 = 2Ca+2 + 2Fe+3 - 10H+ + 5H2O
	log_k	56.76
	delta_h	-473.870 
	analytic	-2.62583E+1 0E+0 2.47519E+4 0E+0 0E+0 
	# source	sit.dat
Ca2ZrSi3O12(cr)
	Ca2ZrSi3O12 = 2Ca+2 - 8H+ + 3H4(SiO4) + Zr+4 - 2H2O + O2
	log_k	-154.25
	delta_h	764.444 
	analytic	-2.03254E+1 0E+0 -3.99296E+4 0E+0 0E+0 
	# source	sit.dat
Ca3(AsO4)2:xH2O
	Ca3(AsO4)2 = 3Ca+2 + 2AsO4-3
	log_k	-21.0
	analytic	-2.1E+1 0E+0 0E+0 0E+0 0E+0 
	# source	sit.dat
Ca3(Cit)2:4H2O(s)
	Ca3(Cit)2:4H2O = 3Ca+2 + 2Cit-3 + 4H2O
	log_k	-17.9
	analytic	-1.79E+1 0E+0 0E+0 0E+0 0E+0 
	# source	sit.dat
Ca3(PO4)2(alfa)
	Ca3(PO4)2 = 3Ca+2 - 4H+ + 2H2(PO4)-
	log_k	10.22
	delta_h	-125.300 
	analytic	-1.17316E+1 0E+0 6.54487E+3 0E+0 0E+0 
	# source	sit.dat
Ca3B2O6(s)
	Ca3B2O6 = 3Ca+2 - 4H+ + 2B(OH)4- - 2H2O
	log_k	40.58
	delta_h	-318.306 
	analytic	-1.51847E+1 0E+0 1.66263E+4 0E+0 0E+0 
	# source	sit.dat
Ca3ZrSi2O9(cr)
	Ca3ZrSi2O9 = 3Ca+2 - 10H+ + 2H4(SiO4) + Zr+4 + H2O
	log_k	47.87
	delta_h	-416.718 
	analytic	-2.51358E+1 0E+0 2.17667E+4 0E+0 0E+0 
	# source	sit.dat
Ca4Al2O6(CrO4):15H2O(s)
	Ca4Al2O6(CrO4):15H2O = 4Ca+2 + 2Al+3 - 12H+ + CrO4-2 + 2H2O
	log_k	71.36
	delta_h	-545.980 
	analytic	-2.42914E+1 0E+0 2.85185E+4 0E+0 0E+0 
	# source	sit.dat
Ca4Cl2(OH)6:13H2O(s)
	Ca4Cl2(OH)6:13H2O = 4Ca+2 - 6H+ + 2Cl- + 19H2O
	log_k	68.73
	delta_h	-271.930 
	analytic	2.109E+1 0E+0 1.42039E+4 0E+0 0E+0 
	# source	sit.dat
Ca4H(PO4)3:2.5H2O(s)
	Ca4H(PO4)3:2.5H2O = 4Ca+2 - 5H+ + 3H2(PO4)- + 2.500H2O
	log_k	11.81
	analytic	1.181E+1 0E+0 0E+0 0E+0 0E+0 
	# source	sit.dat
Ca6(Al(OH)6)2(CrO4)3:26H2O(s)
	Ca6(Al(OH)6)2(CrO4)3:26H2O = 6Ca+2 + 2Al+3 - 12H+ + 3CrO4-2 + 38H2O
	log_k	60.28
	delta_h	-509.590 
	analytic	-2.89962E+1 0E+0 2.66177E+4 0E+0 0E+0 
	# source	sit.dat
CaB2O4(s)
	CaB2O4 = Ca+2 + 2B(OH)4- - 4H2O
	log_k	-2.18
	delta_h	-58.908 
	analytic	-1.25002E+1 0E+0 3.07697E+3 0E+0 0E+0 
	# source	sit.dat
CaB4O7(s)
	CaB4O7 = Ca+2 + 2H+ + 4B(OH)4- - 9H2O
	log_k	-23.44
	delta_h	9.373 
	analytic	-2.17979E+1 0E+0 -4.89585E+2 0E+0 0E+0 
	# source	sit.dat
CaCO3:H2O(s)
	CaCO3:H2O = Ca+2 + CO3-2 + H2O
	log_k	-7.6
	delta_h	-5.770 
	analytic	-8.61086E+0 0E+0 3.01388E+2 0E+0 0E+0 
	# source	sit.dat
CaCl2:2H2O(cr)
	CaCl2:2H2O = Ca+2 + 2Cl- + 2H2O
	log_k	7.95
	delta_h	-44.790 
	analytic	1.0314E-1 0E+0 2.33954E+3 0E+0 0E+0 
	# source	sit.dat
CaCl2:4H2O(cr)
	CaCl2:4H2O = Ca+2 + 2Cl- + 4H2O
	log_k	5.35
	delta_h	-11.310 
	analytic	3.36858E+0 0E+0 5.90762E+2 0E+0 0E+0 
	# source	sit.dat
CaCl2:H2O(s)
	CaCl2:H2O = Ca+2 + 2Cl- + H2O
	log_k	7.85
	delta_h	-52.160 
	analytic	-1.28803E+0 0E+0 2.7245E+3 0E+0 0E+0 
	# source	sit.dat
CaCrO4(s)
	CaCrO4 = Ca+2 + CrO4-2
	log_k	-3.15
	delta_h	-22.814 
	analytic	-7.14684E+0 0E+0 1.19166E+3 0E+0 0E+0 
	# source	sit.dat
CaF2:6H2O(s)
	CaF2:6H2O = Ca+2 + 2F- + 6H2O
	log_k	-5.48
	analytic	-5.48E+0 0E+0 0E+0 0E+0 0E+0 
	# source	sit.dat
CaFe2O4(s)
	CaFe2O4 = Ca+2 + 2Fe+3 - 8H+ + 4H2O
	log_k	21.24
